Product_Name,Category,Gender,Color,Sleeve_Type,Material,Season,City,Price,Discount_Pct,Reviews,Avg_Rating,Seller_Rating,Product_Age_Days,Is_Flash_Sale,Is_Combo,Sales,Predicted_Future_Sales,Sales_Potential_Score,Sales_Potential_Category,Growth_Potential,Growth_Percentage
Premium Polyester Blue Socks,Socks,Unisex,Blue,Not Specified,Polyester,Winter,Islamabad,95.36,54.6,678,4.5,4.0,379,1,1,34289,66357.37,100.0,High Potential,32068.369999999995,93.52378313744931
Blue Wool Socks - Pack of 3,Socks,Male,Blue,Not Specified,Wool,Winter,Lahore,239.27,64.4,1426,4.1,4.2,247,1,1,66447,60287.35,99.9995,High Potential,-6159.6500000000015,-9.270019714960798
Brown Woolen Winter Socks,Socks,Female,Brown,Not Specified,Cotton,Winter,Karachi,133.69,13.5,1648,4.0,4.2,520,1,1,69895,57007.21,99.99900000000001,High Potential,-12887.79,-18.43878675155591
Premium Cotton Multicolor Socks,Socks,Male,Multicolor,Not Specified,Cotton,Winter,Sialkot,89.91,56.6,777,4.4,4.6,239,1,0,69901,54452.78,99.9985,High Potential,-15448.220000000001,-22.100141628875125
Bonanza Sports Socks - Black,Socks,Male,Black,Not Specified,Cotton,Winter,Karachi,144.23,19.5,320,4.6,3.9,214,1,1,60290,51278.34,99.99749999999999,High Potential,-9011.660000000003,-14.947188588488977
Brown Wool Socks - Pack of 3,Socks,Unisex,Brown,Not Specified,Wool,Fall,Rawalpindi,84.43,39.4,862,4.5,3.3,75,1,1,57848,50127.59,99.997,High Potential,-7720.4100000000035,-13.346027520398291
Athletic Wool Socks White Pack,Socks,Female,White,Not Specified,Wool,Winter,Sialkot,165.27,62.3,493,3.3,4.9,516,1,1,64963,49690.21,99.9965,High Potential,-15272.79,-23.509982605483124
Athletic Wool Socks Black Pack,Socks,Female,Black,Not Specified,Wool,Winter,Islamabad,122.82,63.5,112,3.5,4.5,6,1,0,67153,49512.68,99.996,High Potential,-17640.32,-26.268848748380563
Athletic Nylon Socks Brown Pack,Socks,Unisex,Brown,Not Specified,Nylon,Winter,Hyderabad,138.69,25.9,1142,4.2,4.4,445,1,1,70054,47347.22,99.9955,High Potential,-22706.78,-32.41325263368259
Ankle Black Socks Cotton,Socks,Female,Black,Not Specified,Cotton,Winter,Karachi,149.58,13.7,201,4.5,4.1,50,1,1,28502,47057.41,99.995,High Potential,18555.410000000003,65.10213318363624
Khaadi Sports Socks - Red,Socks,Male,Red,Not Specified,Polyester,Winter,Lahore,177.17,57.1,152,4.7,3.8,249,1,1,54642,46826.13,99.9945,High Potential,-7815.870000000003,-14.303777314153951
Athletic Wool Socks Navy Pack,Socks,Male,Navy,Not Specified,Wool,Winter,Faisalabad,95.51,39.2,176,4.1,4.0,244,1,0,73069,46472.85,99.994,High Potential,-26596.15,-36.3986779619264
White Woolen Winter Socks,Socks,Unisex,White,Not Specified,Nylon,Spring,Lahore,80.0,49.8,1172,4.0,4.3,182,1,0,87293,45867.54,99.9935,High Potential,-41425.46,-47.45564936478297
Ankle Multicolor Socks Wool,Socks,Female,Multicolor,Not Specified,Wool,Winter,Karachi,244.79,56.4,403,4.3,4.1,201,1,1,33356,44908.74,99.993,High Potential,11552.739999999998,34.63466842547067
Ankle White Socks Polyester,Socks,Female,White,Not Specified,Polyester,Fall,Lahore,148.07,55.4,671,3.6,4.5,46,1,1,33076,44821.97,99.99249999999999,High Potential,11745.970000000001,35.51206312734309
Blue Thermal Socks for Men,Socks,Male,Blue,Not Specified,Nylon,Winter,Karachi,116.57,16.2,424,4.5,3.4,83,1,1,52631,44590.88,99.992,High Potential,-8040.120000000003,-15.276396040356449
Blue Woolen Winter Socks,Socks,Male,Blue,Not Specified,Wool,Spring,Karachi,95.94,40.3,573,4.4,4.6,114,1,1,44918,43992.59,99.9915,High Potential,-925.4100000000035,-2.0602208468765384
Ankle White Socks Cotton,Socks,Unisex,White,Not Specified,Cotton,Winter,Karachi,80.0,14.0,100,4.7,2.9,109,1,1,68112,42534.95,99.991,High Potential,-25577.050000000003,-37.55145936105239
No-Show Brown Socks - Cotton,Socks,Male,Brown,Not Specified,Cotton,Winter,Lahore,160.55,18.9,331,3.0,4.8,210,1,1,46539,41971.41,99.9905,High Potential,-4567.5899999999965,-9.814542641655379
Ankle Black Socks Polyester,Socks,Male,Black,Not Specified,Polyester,Winter,Karachi,145.24,14.1,201,3.8,4.3,473,1,1,50851,41845.27,99.99,High Potential,-9005.730000000003,-17.71003520088101
