Product_Name,Category,Gender,Color,Sleeve_Type,Material,Season,City,Price,Discount_Pct,Reviews,Avg_Rating,Seller_Rating,Product_Age_Days,Is_Flash_Sale,Is_Combo,Sales,Predicted_Future_Sales,Sales_Potential_Score,Sales_Potential_Category,Growth_Potential,Growth_Percentage
Multicolor Cotton Socks - Pack of 3,Socks,Male,Multicolor,Not Specified,Cotton,Winter,Karachi,112.36,52.0,449,4.9,4.9,30,1,1,150684,109442.61,100.0,High Potential,-41241.39,-27.369455283905392
Black Polyester Socks - Pack of 3,Socks,Male,Black,Not Specified,Polyester,Winter,Karachi,103.39,45.8,608,4.8,4.2,531,1,1,72883,89387.58,99.99966666666667,High Potential,16504.58,22.645308233744498
Premium Cotton White Socks,Socks,Unisex,White,Not Specified,Cotton,Winter,Lahore,126.84,52.6,560,3.9,4.1,85,1,1,75025,70944.91,99.99933333333333,High Potential,-4080.0899999999965,-5.438307230923021
Brown Thermal Socks for Women,Socks,Female,Brown,Not Specified,Cotton,Winter,Faisalabad,152.48,53.6,618,4.6,4.0,448,1,1,112511,69618.22,99.99900000000001,High Potential,-42892.78,-38.12318795495551
Premium Polyester Grey Socks,Socks,Female,Grey,Not Specified,Polyester,Winter,Lahore,138.56,51.6,311,4.7,4.7,70,1,1,91472,64793.97,99.99866666666667,High Potential,-26678.03,-29.165241822634247
Black Woolen Winter Socks,Socks,Male,Black,Not Specified,Wool,Winter,Islamabad,191.63,53.9,1452,4.7,4.9,145,1,1,48129,57872.11,99.99833333333333,High Potential,9743.11,20.243740779987117
Grey Polyester Socks - Pack of 3,Socks,Female,Grey,Not Specified,Polyester,Winter,Karachi,128.51,50.3,53,3.9,4.8,35,1,1,36479,57851.92,99.998,High Potential,21372.92,58.58965432166452
Athletic Cotton Socks Multicolor Pack,Socks,Male,Multicolor,Not Specified,Cotton,Winter,Karachi,207.23,43.6,472,4.6,4.6,295,1,1,52196,57828.47,99.99766666666666,High Potential,5632.470000000001,10.790999310291978
Ankle White Socks Wool,Socks,Female,White,Not Specified,Wool,Winter,Lahore,125.39,55.2,199,4.3,3.4,469,1,1,59279,56953.36,99.99733333333334,High Potential,-2325.6399999999994,-3.923210580475378
Black Thermal Socks for Unisex,Socks,Unisex,Black,Not Specified,Nylon,Winter,Lahore,163.51,58.7,172,4.2,4.0,17,1,1,110348,56788.7,99.997,High Potential,-53559.3,-48.53672019429442
Premium Polyester Black Socks,Socks,Unisex,Black,Not Specified,Polyester,Winter,Karachi,155.84,16.3,514,4.3,4.1,48,1,1,87096,56534.77,99.99666666666667,High Potential,-30561.230000000003,-35.08913153302104
Junaid Jamshed Sports Socks - White,Socks,Female,White,Not Specified,Cotton,Winter,Karachi,139.62,46.6,542,4.1,5.0,67,1,0,40490,56494.46,99.99633333333333,High Potential,16004.46,39.526944924672755
No-Show Navy Socks - Polyester,Socks,Unisex,Navy,Not Specified,Polyester,Winter,Islamabad,113.18,7.7,1204,4.6,4.5,621,1,1,67437,54978.35,99.99566666666666,High Potential,-12458.650000000001,-18.47450212791198
White Thermal Socks for Women,Socks,Female,White,Not Specified,Polyester,Winter,Karachi,110.17,47.4,263,4.8,3.0,95,1,1,56651,54465.81,99.99533333333333,High Potential,-2185.1900000000023,-3.8572840726553856
Ankle White Socks Cotton,Socks,Female,White,Not Specified,Cotton,Winter,Karachi,86.94,6.0,42,4.0,4.7,12,1,1,30265,54382.3,99.995,High Potential,24117.300000000003,79.68709730712045
No-Show Blue Socks - Nylon,Socks,Male,Blue,Not Specified,Nylon,Winter,Lahore,132.2,62.8,196,4.1,2.9,243,1,1,79021,52516.93,99.99466666666666,High Potential,-26504.07,-33.540539856493844
Brown Woolen Winter Socks,Socks,Unisex,Brown,Not Specified,Spandex,Winter,Lahore,168.14,16.0,1047,4.6,4.3,178,1,1,68151,51806.76,99.99433333333333,High Potential,-16344.239999999998,-23.982392041202623
Blue Polyester Socks - Pack of 3,Socks,Female,Blue,Not Specified,Polyester,Winter,Karachi,112.32,9.5,126,3.8,4.9,386,1,1,51588,51484.39,99.994,High Potential,-103.61000000000058,-0.20084128091804407
No-Show Brown Socks - Wool,Socks,Female,Brown,Not Specified,Wool,Winter,Faisalabad,138.42,41.8,442,4.9,3.8,123,1,1,67779,51374.57,99.99366666666667,High Potential,-16404.43,-24.20282093273728
Premium Polyester Pink Socks,Socks,Male,Pink,Not Specified,Polyester,Winter,Faisalabad,139.22,17.7,367,4.7,4.4,391,1,1,37291,51153.35,99.99333333333334,High Potential,13862.349999999999,37.173446676141694
